5.3,0.77,1.5,7.5
5.5,0.78,1.9,7.7
8.3,0.67,2.5,7.8
10.1,0.61,2.9,7.1
12.4,0.53,3,5.7
13.9,0.48,3,4.6
14.2,0.45,2.4,3.6
14.7,0.43,2.2,3.1
13.5,0.46,2,3
12.3,0.52,2.7,3
11,0.58,3,3.3
10.3,0.61,3,3.8
9.6,0.63,2.8,4
9.1,0.64,2.6,4.4
8.4,0.67,2.6,4.6
7.5,0.69,2.1,5.2
6.9,0.74,2.5,5.3
6.6,0.73,2,5.2
5.6,0.85,3.2,5.6
5.5,0.76,1.5,5.8
5.5,0.72,0.8,5.9
5.1,0.67,-0.5,6.3
4.8,0.68,-0.6,6.5
4.6,0.67,-1,7.2
4.4,0.68,-0.9,7.7
4.5,0.7,-0.5,8.8
4.9,0.69,-0.3,9.6
5.8,0.6,-1.3,9.9
6.8,0.57,-1.1,9.4
7.5,0.5,-2.2,9.1
8,0.44,-3.5,8.6
7.7,0.4,-5,8.7
7.4,0.43,-4.3,9
6,0.46,-4.7,9.4
4.4,0.48,-5.6,9.9
3.4,0.59,-3.8,10.9
2.1,0.63,-4.2,11.3
1.2,0.67,-4.2,11.9
0.3,0.7,-4.5,11.9
-0.1,0.71,-4.7,12.3
-0.9,0.72,-5.3,12.4
-1,0.73,-5.2,12.9
-1.4,0.74,-5.4,13.2
-2.3,0.75,-6.1,13.7
-1.6,0.72,-5.9,14
-2.2,0.73,-6.3,14.5
-2.7,0.72,-7,14.5
-2.6,0.72,-6.9,15
-2.8,0.74,-6.7,15.6
-1.6,0.7,-6.3,16
0.4,0.61,-6.2,16.6
2,0.53,-6.5,16.4
2.7,0.48,-7.2,15.4
3.6,0.47,-6.6,14.1
4,0.48,-6,13.7
3.4,0.54,-5,14
3.2,0.6,-3.8,14.7
1.5,0.73,-2.8,15.3
0.8,0.7,-4,15.5
-0.6,0.67,-5.9,16
-1,0.55,-8.9,16.5
-1.4,0.56,-9,17.3
-1.9,0.59,-8.8,17.9
-2.5,0.61,-9,18.4
-3.2,0.6,-9.8,18.5
-3.6,0.6,-10.2,19
-4.2,0.59,-11,19.2
-5.5,0.57,-12.6,19.7
-6.5,0.55,-14,19.7
-7.1,0.52,-15.3,19.7
-7.6,0.54,-15.3,19.8
-7.7,0.53,-15.6,20.2
-7.4,0.55,-14.9,20.2
-5.7,0.55,-13.3,20.3
-2.9,0.34,-16.6,20.1
-0.9,0.31,-15.9,19.3
0.3,0.35,-13.4,17.8
2.3,0.35,-11.6,16.4
1.4,0.44,-9.5,15.8
0.6,0.51,-8.3,16
-0.5,0.68,-5.6,16.2
-1.4,0.78,-4.7,16.4
-1.8,0.79,-4.9,16
-1.9,0.81,-4.7,15.1
-2.3,0.82,-4.9,15.4
-2.8,0.83,-5.2,15.5
-2.4,0.85,-4.5,15.9
-2.1,0.85,-4.2,15.9
-2,0.86,-4,15.3
-2.2,0.85,-4.3,14.6
-2.7,0.85,-4.8,13.8
-1.9,0.84,-4.2,13.3
-1.7,0.84,-4,12.9
-1.6,0.84,-3.9,12.3
-0.8,0.8,-3.8,11.6
-1,0.79,-4.1,11.2
-1.8,0.84,-4.1,11
-0.9,0.81,-3.7,11
2.5,0.66,-3.2,10.6
5,0.5,-4.5,10.1
3.3,0.72,-1.2,9.9
2.6,0.72,-1.9,8.9
3.5,0.62,-3.1,8.4
3.5,0.71,-1.2,8.2
2.6,0.81,-0.3,8.2
2.1,0.69,-3,8.4
0.5,0.54,-7.7,8.8
-1.3,0.52,-9.9,9
-2.4,0.57,-9.7,9.2
-2.2,0.54,-10.2,9.4
-2.4,0.52,-10.9,9.7
-2.9,0.57,-10.2,9.7
-4,0.61,-10.4,9.9
-5,0.67,-10.1,10.2
-5.6,0.61,-11.9,10.6
-6,0.6,-12.5,10.9
-6,0.61,-12.3,10.1
-6,0.6,-12.5,9.5
-6.4,0.71,-10.8,9.2
-7.1,0.73,-11.1,8.8
-7.1,0.75,-10.7,8.4
-5.7,0.73,-9.7,8
-2.9,0.66,-8.3,7.8
-1.3,0.66,-6.8,6.8
-0.4,0.76,-4.1,6.1
-0.5,0.88,-2.2,5.9
-0.8,0.85,-3,6.5
-0.7,0.75,-4.5,7.5
0.5,0.53,-7.9,7.9
-1.6,0.56,-9.2,8.7
-2.7,0.63,-8.7,9.1
-3.3,0.65,-8.9,9.7
-3.3,0.67,-8.5,10.1
-3.3,0.65,-8.9,10.9
-3.4,0.62,-9.6,11.8
-4,0.61,-10.4,12.3
-4.4,0.61,-10.8,12.6
-4.9,0.68,-9.9,13
-5.7,0.75,-9.4,13.7
-5.9,0.71,-10.3,14.8
-6.5,0.72,-10.7,14.9
-6.9,0.7,-11.4,15.1
-7.3,0.74,-11.1,15.4
-7.4,0.75,-11,16.1
-7.5,0.82,-10,16.7
-6.4,0.73,-10.4,17
-4.9,0.62,-11,17.6
-4,0.42,-15,17.6
-3.9,0.28,-19.7,17.3
-3.5,0.26,-20.2,16.4
-3.1,0.28,-19,15.8
-3.7,0.25,-20.9,16.2
-3.5,0.31,-18.2,16.7
-4.9,0.37,-17.3,17
-5.7,0.43,-16.3,17.3
-6.2,0.48,-15.4,17.5
-6,0.5,-14.7,17.9
-6.7,0.43,-17.2,18.8
-7.3,0.44,-17.5,19.1
-7.8,0.44,-17.9,19.6
-8.7,0.45,-18.5,20
-9.4,0.46,-18.9,20.4
-9.8,0.44,-19.7,20.9
-10.1,0.45,-19.8,21
-10,0.44,-19.9,21.1
-10.5,0.52,-18.4,21.7
-10.9,0.59,-17.3,21.4
-11.5,0.64,-16.9,21.8
-11.7,0.66,-16.7,22.1
-9.4,0.62,-15.3,21.9
-6.8,0.47,-16.2,21.8
-4.9,0.4,-16.4,21.5
-3.3,0.32,-17.6,20.2
-2.4,0.33,-16.5,19
-0.5,0.32,-15.2,18.3
0.4,0.33,-14,17.9
0.7,0.3,-14.9,18
-0.6,0.35,-14.2,18
-2,0.41,-13.5,18.1
-3.3,0.46,-13.2,18.5
-4.4,0.5,-13.2,19
-5.1,0.53,-13.2,19.2
-5.3,0.58,-12.2,19.1
-6.2,0.63,-12.1,18.9
-6.5,0.66,-11.8,18.7
-7.1,0.68,-12,18.5
-7.7,0.71,-12,18.9
-8.3,0.75,-11.9,19.4
-8.7,0.78,-11.8,19.5
-8.9,0.79,-11.8,19.9
-9.4,0.8,-12.2,20.3
-9.6,0.84,-11.8,20.6
-10,0.84,-12.1,20.9
-8.2,0.8,-11,21.2
-5,0.69,-9.8,21.9
-2.6,0.57,-9.9,21.8
0.1,0.41,-11.6,21
2.1,0.34,-12.1,20.4
2.1,0.26,-15.4,19.8
3.6,0.26,-14.1,20
2.6,0.22,-17,20.3
1.4,0.22,-18,20.6
-0.3,0.29,-16.2,20.8
-1.6,0.35,-15.1,21.4
-2.3,0.4,-14.1,21.6
-3.5,0.45,-13.7,22
-4.3,0.5,-13.1,22.6
-4.7,0.54,-12.6,22.5
-5.6,0.6,-12.1,22.7
-6.1,0.61,-12.4,23.2
-7,0.65,-12.4,23.2
-7.3,0.68,-12.2,23.4
-8,0.69,-12.6,23.6
-8.2,0.72,-12.3,23.7
-8.2,0.74,-12,23.9
-8.5,0.76,-11.9,23.7
-8.5,0.77,-11.8,23.8
-7.8,0.76,-11.2,24
-5.5,0.69,-10.2,24.3
-3.2,0.61,-9.6,23.9
-1,0.51,-9.8,23.4
0.7,0.4,-11.3,22.7
2.4,0.36,-11.1,22.6
3.3,0.36,-10.3,22.3
3.7,0.33,-11.1,22.3
3.3,0.36,-10.3,21.7
2,0.38,-10.8,21.9
0.7,0.42,-10.7,22.5
0.1,0.46,-10.1,22.5
-1,0.5,-10.1,22.7
-1.5,0.55,-9.3,23.2
-2.3,0.58,-9.4,23.6
-3.1,0.61,-9.5,23.6
-3.6,0.63,-9.6,23.8
-4,0.67,-9.2,23.8
-4.4,0.7,-9,24.2
-3.6,0.69,-8.4,24.2
-3.3,0.7,-7.9,23.6
-3.7,0.68,-8.7,23.7
-4.2,0.73,-8.3,23.9
-4.4,0.76,-8,23.9
-4.1,0.74,-8,23.7
-2,0.69,-6.9,23.3
-0.7,0.63,-6.8,23.2
1.4,0.59,-5.7,22.2
2.6,0.58,-4.8,21.6
3.4,0.53,-5.2,20.6
4.1,0.52,-4.8,20.7
3.9,0.52,-5,21.2
3.6,0.57,-4.1,20.9
3,0.59,-4.2,20.9
2.4,0.62,-4.1,21
2.3,0.64,-3.8,21
1.4,0.67,-4,20.9
0.4,0.73,-3.8,20.6
-0.8,0.78,-4.1,20.8
-1,0.81,-3.8,20.7
-1.2,0.84,-3.5,20.4
-1.7,0.89,-3.2,19.9
-2.5,0.88,-4.2,20.2
-3.3,0.9,-4.7,19.7
-3.4,0.91,-4.6,19.2
-3.5,0.91,-4.7,19.2
-3.4,0.91,-4.6,18.8
-3,0.94,-3.8,18.7
-2.6,0.96,-3.1,18.2
-2,0.95,-2.6,18.2
-0.7,0.89,-2.2,17.9
1.8,0.74,-2.3,16.7
3.2,0.62,-3.3,15.6
4.8,0.47,-5.5,14.2
5.5,0.39,-7.3,13.3
